Chelus fimbriatus
Mesoclemmys heliostemma
Mesoclemmys dahli
Mesoclemmys gibba
Mesoclemmys raniceps
Phrynops geoffroanus
Platemys platycephala
Rhinemys rufipes
Chelydra acutirostris
Trachemys callirostris
Trachemys venusta
Rhinoclemmys diademata
Rhinoclemmys melanosterna
Rhinoclemmys nasuta
Kinosternon dunni
Kinosternon leucostomum
Kinosternon scorpioides
Peltocephalus dumerilianus
Podocnemis erythrocephala
Podocnemis expansa
Podocnemis lewyana
Podocnemis sextuberculata
Podocnemis unifilis
Podocnemis vogli
